-------------------------------------------------------------------------------------------------	yProperty	yCountDistinct	yCount
=================================================================================================
http://dbpedia.org/property/isoCode	182	528
http://dbpedia.org/ontology/populationMetro	264	514
http://dbpedia.org/ontology/leaderParty	278	499
http://dbpedia.org/property/populationMetro	254	496
http://dbpedia.org/property/leaderParty	242	487
http://dbpedia.org/ontology/synonym	230	481
http://dbpedia.org/property/otherName	234	475
http://dbpedia.org/property/elevationFt	293	431
http://dbpedia.org/property/county	262	427
http://dbpedia.org/property/pop	258	427
http://dbpedia.org/ontology/region	314	421
http://dbpedia.org/ontology/area	289	420
http://dbpedia.org/ontology/censusYear	252	414
http://dbpedia.org/property/areaPercentage	248	413
http://dbpedia.org/ontology/populationAsOf	256	408
http://dbpedia.org/property/utcOffset1Dst	190	407
http://dbpedia.org/ontology/countySeat	242	402
http://dbpedia.org/ontology/PopulatedPlace/area	277	397
http://dbpedia.org/property/elevationMaxM	251	393
http://dbpedia.org/property/largestCityWl	226	370
http://dbpedia.org/property/timezone1Dst	178	369
http://dbpedia.org/property/area	173	365
http://dbpedia.org/property/seatWl	227	365
http://dbpedia.org/ontology/populationUrban	200	361
http://dbpedia.org/property/populationUrban	194	351
http://dbpedia.org/property/densitySqMi	214	343
http://dbpedia.org/property/basinCountries	61	342
http://dbpedia.org/property/areaLandKm	255	334
http://dbpedia.org/property/islands	16	295
http://dbpedia.org/property/elevationMinM	214	293
http://dbpedia.org/ontology/PopulatedPlace/areaMetro	123	292
http://dbpedia.org/ontology/areaMetro	123	292
http://dbpedia.org/property/areaWaterKm	223	290
http://dbpedia.org/ontology/soundRecording	7	286
http://dbpedia.org/property/filename	7	286
http://dbpedia.org/property/title	7	286
http://dbpedia.org/ontology/commander	19	282
http://dbpedia.org/property/censusYr	183	275
http://dbpedia.org/property/totalarea	49	264
http://dbpedia.org/property/highestelev	44	260
http://dbpedia.org/property/fullname	44	260
http://dbpedia.org/property/lowestelev	44	260
http://dbpedia.org/property/officiallang	32	251
http://dbpedia.org/property/populationAsOf	165	249
http://dbpedia.org/ontology/length	109	237
http://dbpedia.org/ontology/inseeCode	186	234
http://dbpedia.org/property/areaMetroKm	110	234
http://dbpedia.org/property/insee	186	234
http://dbpedia.org/ontology/wikiPageDisambiguates	15	225
http://dbpedia.org/property/type	63	212
http://dbpedia.org/property/largestcity	29	211
http://dbpedia.org/ontology/areaUrban	89	206
http://dbpedia.org/ontology/PopulatedPlace/areaUrban	89	206
http://dbpedia.org/property/waterarea	37	202
http://dbpedia.org/property/foundedYear	117	202
http://dbpedia.org/property/landarea	37	198
http://dbpedia.org/ontology/district	150	192
http://dbpedia.org/ontology/city	32	191
http://dbpedia.org/property/commander	20	190
http://dbpedia.org/property/city	26	186
http://dbpedia.org/ontology/maximumDepth	34	184
http://dbpedia.org/ontology/majorIsland	13	181
http://dbpedia.org/property/id	80	181
http://dbpedia.org/property/governingBody	95	180
http://dbpedia.org/property/elevation	146	179
http://dbpedia.org/property/areaUrbanKm	81	172
http://dbpedia.org/ontology/governingBody	91	172
http://dbpedia.org/property/department	135	171
http://dbpedia.org/ontology/department	136	171
