-------------------------------------------------------------------------------------------------
| yProperty                                                           | yCountDistinct | yCount |
| <http://dbpedia.org/ontology/areaCode>                              | 44             | 393    |
| <http://dbpedia.org/property/areaCode>                              | 42             | 380    |
| <http://dbpedia.org/property/waterarea>                             | 41             | 1183   |
| <http://dbpedia.org/property/landarea>                              | 41             | 1156   |
| <http://dbpedia.org/property/populationRank>                        | 39             | 166    |
| <http://dbpedia.org/ontology/populationTotalRanking>                | 39             | 165    |
| <http://dbpedia.org/property/motto>                                 | 37             | 219    |
| <http://dbpedia.org/property/subdivisionName>                       | 37             | 563    |
| <http://dbpedia.org/property/officialName>                          | 37             | 157    |
| <http://dbpedia.org/property/largestcity>                           | 35             | 1173   |
| <http://dbpedia.org/property/officiallang>                          | 33             | 1696   |
| <http://dbpedia.org/ontology/area>                                  | 32             | 55     |
| <http://dbpedia.org/property/areaMagnitude>                         | 32             | 55     |
| <http://dbpedia.org/property/population>                            | 32             | 95     |
| <http://dbpedia.org/ontology/PopulatedPlace/area>                   | 32             | 55     |
| <http://www.w3.org/2002/07/owl#differentFrom>                       | 31             | 425    |
| <http://dbpedia.org/property/isoCode>                               | 29             | 65     |
| <http://dbpedia.org/ontology/regionalLanguage>                      | 29             | 1679   |
| <http://dbpedia.org/ontology/isoCodeRegion>                         | 29             | 65     |
| <http://dbpedia.org/property/regionalLanguages>                     | 29             | 1766   |
| <http://dbpedia.org/property/nickname>                              | 29             | 495    |
| <http://dbpedia.org/ontology/foundingYear>                          | 28             | 135    |
| <http://xmlns.com/foaf/0.1/nick>                                    | 28             | 539    |
| <http://dbpedia.org/ontology/leaderParty>                           | 28             | 167    |
| <http://dbpedia.org/property/area>                                  | 28             | 77     |
| <http://dbpedia.org/ontology/dissolutionYear>                       | 27             | 134    |
| <http://dbpedia.org/property/yearEnd>                               | 27             | 134    |
| <http://dbpedia.org/property/leaderParty>                           | 26             | 158    |
| <http://dbpedia.org/property/yearStart>                             | 26             | 130    |
| <http://dbpedia.org/ontology/isPartOf>                              | 24             | 482    |
