--------------------------------------------------------------------------------------------	yProperty	yCountDistinct	yCount
============================================================================================
http://dbpedia.org/ontology/campus	15	19
http://dbpedia.org/ontology/president	19	19
http://dbpedia.org/property/startDate	14	19
http://dbpedia.org/ontology/areaTotal	14	18
http://dbpedia.org/property/mottoeng	14	18
http://dbpedia.org/ontology/utcOffset	13	18
http://dbpedia.org/property/staff	10	18
http://dbpedia.org/ontology/staff	10	18
http://dbpedia.org/property/leaderName	10	17
http://dbpedia.org/ontology/foundingDate	11	17
http://dbpedia.org/property/campus	15	17
http://dbpedia.org/ontology/PopulatedPlace/areaTotal	13	16
http://dbpedia.org/ontology/populationTotal	16	16
http://dbpedia.org/property/nativeName	13	14
http://dbpedia.org/ontology/postalCode	14	14
http://dbpedia.org/ontology/populationTotalRanking	7	14
http://dbpedia.org/ontology/leaderName	7	14
http://dbpedia.org/property/r3Number	12	13
http://dbpedia.org/property/nativename	12	13
http://dbpedia.org/property/added	11	13
http://dbpedia.org/property/industry	7	13
http://dbpedia.org/property/populationRank	7	13
http://dbpedia.org/property/populationTotal	13	13
http://dbpedia.org/property/architecturalStyle	7	13
http://dbpedia.org/property/r3Surface	12	13
http://dbpedia.org/ontology/timeZone	13	13
http://dbpedia.org/property/refnum	11	13
http://dbpedia.org/property/timezone	13	13
http://dbpedia.org/property/utcOffset	13	13
http://dbpedia.org/property/r3LengthF	11	12
http://dbpedia.org/property/r3LengthM	11	12
http://dbpedia.org/ontology/foundationPlace	3	12
http://dbpedia.org/ontology/numberOfEmployees	7	12
http://dbpedia.org/property/postalCode	12	12
http://dbpedia.org/ontology/numberOfSuites	7	11
http://dbpedia.org/ontology/nrhpReferenceNumber	9	11
http://dbpedia.org/ontology/locationCountry	7	11
http://dbpedia.org/property/areaTotalKm	11	11
http://dbpedia.org/ontology/added	9	11
http://dbpedia.org/property/numberOfSuites	7	11
http://dbpedia.org/ontology/yearOfConstruction	8	10
http://dbpedia.org/property/height	4	10
http://dbpedia.org/property/associatedActs	1	10
http://dbpedia.org/ontology/chain	7	10
http://dbpedia.org/property/locationCountry	6	10
http://dbpedia.org/property/chain	7	10
http://dbpedia.org/ontology/regionServed	3	10
http://dbpedia.org/property/homepage	6	10
http://dbpedia.org/property/settlementType	10	10
http://dbpedia.org/property/floorArea	6	10
http://dbpedia.org/property/numEmployees	7	9
http://dbpedia.org/ontology/area	8	9
http://dbpedia.org/property/officialName	9	9
http://dbpedia.org/property/areaServed	2	9
http://dbpedia.org/ontology/areaLand	6	9
http://dbpedia.org/property/locationCity	6	9
http://dbpedia.org/ontology/locationCity	6	9
http://dbpedia.org/ontology/associatedMusicalArtist	1	8
