-------------------------------------------------------------------------------------------------
| yProperty                                                           | yCountDistinct | yCount |
| <http://dbpedia.org/property/currency>                              | 467            | 8678   |
| <http://dbpedia.org/ontology/state>                                 | 466            | 933    |
| <http://dbpedia.org/property/country>                               | 465            | 1282   |
| <http://dbpedia.org/property/areaLandKm>                            | 458            | 647    |
| <http://dbpedia.org/ontology/dissolutionYear>                       | 455            | 1867   |
| <http://dbpedia.org/property/populationDensitySqMi>                 | 439            | 5301   |
| <http://dbpedia.org/property/location>                              | 430            | 1221   |
| <http://dbpedia.org/ontology/location>                              | 427            | 1462   |
| <http://dbpedia.org/property/elevationMaxM>                         | 415            | 790    |
| <http://dbpedia.org/ontology/populationMetro>                       | 415            | 1036   |
| <http://dbpedia.org/property/motto>                                 | 402            | 1253   |
| <http://dbpedia.org/property/populationMetro>                       | 401            | 1001   |
| <http://dbpedia.org/property/leaderParty>                           | 397            | 1008   |
| <http://dbpedia.org/property/areaWaterKm>                           | 386            | 533    |
| <http://dbpedia.org/property/elevationMinM>                         | 367            | 614    |
| <http://dbpedia.org/ontology/populationTotalRanking>                | 364            | 1140   |
| <http://dbpedia.org/property/otherName>                             | 362            | 918    |
| <http://dbpedia.org/property/populationRank>                        | 362            | 1129   |
| <http://dbpedia.org/property/county>                                | 360            | 613    |
| <http://dbpedia.org/property/pop>                                   | 357            | 610    |
| <http://www.w3.org/2002/07/owl#differentFrom>                       | 355            | 2028   |
| <http://dbpedia.org/ontology/synonym>                               | 348            | 944    |
| <http://dbpedia.org/ontology/censusYear>                            | 342            | 588    |
| <http://dbpedia.org/property/area>                                  | 337            | 786    |
| <http://dbpedia.org/property/areaPercentage>                        | 335            | 580    |
| <http://dbpedia.org/ontology/inseeCode>                             | 334            | 491    |
| <http://dbpedia.org/property/insee>                                 | 334            | 491    |
| <http://dbpedia.org/ontology/anthem>                                | 330            | 5070   |
| <http://dbpedia.org/ontology/countySeat>                            | 326            | 568    |
| <http://dbpedia.org/ontology/district>                              | 318            | 465    |
| <http://dbpedia.org/property/elevation>                             | 317            | 431    |
| <http://dbpedia.org/property/populationAsOf>                        | 317            | 590    |
| <http://dbpedia.org/ontology/populationUrban>                       | 315            | 694    |
| <http://dbpedia.org/property/populationUrban>                       | 309            | 674    |
| <http://dbpedia.org/ontology/isoCodeRegion>                         | 308            | 1055   |
| <http://dbpedia.org/property/seatWl>                                | 307            | 521    |
| <http://dbpedia.org/property/largestCityWl>                         | 306            | 527    |
| <http://dbpedia.org/property/utcOffset1Dst>                         | 298            | 812    |
| <http://dbpedia.org/ontology/demonym>                               | 296            | 7596   |
| <http://dbpedia.org/property/densitySqMi>                           | 294            | 484    |
| <http://dbpedia.org/property/isoCode>                               | 286            | 1036   |
| <http://dbpedia.org/ontology/language>                              | 286            | 14850  |
| <http://dbpedia.org/property/nationalAnthem>                        | 283            | 9211   |
| <http://dbpedia.org/property/demonym>                               | 282            | 6984   |
| <http://dbpedia.org/ontology/dissolutionDate>                       | 280            | 1352   |
| <http://dbpedia.org/property/timezone1Dst>                          | 276            | 747    |
| <http://dbpedia.org/ontology/leader>                                | 258            | 16599  |
| <http://dbpedia.org/property/censusYr>                              | 240            | 377    |
| <http://dbpedia.org/ontology/department>                            | 238            | 353    |
| <http://dbpedia.org/property/department>                            | 236            | 351    |
| <http://dbpedia.org/property/district>                              | 235            | 364    |
| <http://dbpedia.org/ontology/length>                                | 230            | 558    |
| <http://dbpedia.org/ontology/flag>                                  | 227            | 5623   |
| <http://dbpedia.org/property/imageFlag>                             | 226            | 5622   |
| <http://dbpedia.org/property/postcodeDistrict>                      | 225            | 288    |
| <http://dbpedia.org/ontology/longName>                              | 223            | 5860   |
| <http://dbpedia.org/property/areaSqMi>                              | 210            | 5250   |
| <http://dbpedia.org/property/dialCode>                              | 209            | 266    |
| <http://dbpedia.org/property/licence>                               | 208            | 285    |
| <http://dbpedia.org/ontology/gridReference>                         | 204            | 250    |
| <http://dbpedia.org/property/osGridReference>                       | 204            | 250    |
| <http://dbpedia.org/ontology/officialLanguage>                      | 202            | 5990   |
| <http://dbpedia.org/property/officialLanguages>                     | 202            | 6187   |
| <http://dbpedia.org/property/province>                              | 192            | 302    |
| <http://dbpedia.org/ontology/province>                              | 192            | 302    |
| <http://dbpedia.org/property/populationEstimate>                    | 190            | 4932   |
| <http://dbpedia.org/ontology/part>                                  | 188            | 3268   |
| <http://dbpedia.org/ontology/PopulatedPlace/areaMetro>              | 185            | 560    |
| <http://dbpedia.org/ontology/areaMetro>                             | 185            | 560    |
| <http://dbpedia.org/ontology/riverMouth>                            | 184            | 313    |
| <http://dbpedia.org/property/timeZone>                              | 182            | 5074   |
| <http://dbpedia.org/property/ethnicGroups>                          | 176            | 21150  |
| <http://dbpedia.org/ontology/ethnicGroup>                           | 174            | 11303  |
| <http://dbpedia.org/property/p>                                     | 171            | 3177   |
| <http://dbpedia.org/property/areaMetroKm>                           | 169            | 463    |
| <http://dbpedia.org/property/stand>                                 | 165            | 224    |
| <http://dbpedia.org/property/basinCountries>                        | 163            | 918    |
| <http://dbpedia.org/property/percentWater>                          | 158            | 4383   |
| <http://dbpedia.org/property/mayor>                                 | 155            | 377    |
| <http://dbpedia.org/property/foundedYear>                           | 154            | 281    |
| <http://dbpedia.org/property/arrondissement>                        | 153            | 241    |
| <http://dbpedia.org/ontology/arrondissement>                        | 153            | 241    |
| <http://dbpedia.org/property/mouth>                                 | 151            | 225    |
| <http://dbpedia.org/property/nationalMotto>                         | 150            | 2664   |
| <http://dbpedia.org/property/areaMagnitude>                         | 137            | 319    |
| <http://dbpedia.org/ontology/areaUrban>                             | 137            | 418    |
| <http://dbpedia.org/ontology/PopulatedPlace/areaUrban>              | 137            | 418    |
| <http://dbpedia.org/ontology/sourceCountry>                         | 137            | 290    |
| <http://dbpedia.org/property/governingBody>                         | 129            | 339    |
| <http://dbpedia.org/property/areaUrbanKm>                           | 128            | 355    |
| <http://dbpedia.org/ontology/governingBody>                         | 124            | 327    |
| <http://dbpedia.org/property/saint>                                 | 123            | 224    |
| <http://dbpedia.org/ontology/saint>                                 | 122            | 235    |
| <http://dbpedia.org/property/largestCity>                           | 118            | 2546   |
| <http://dbpedia.org/ontology/federalState>                          | 111            | 167    |
| <http://dbpedia.org/property/type>                                  | 111            | 443    |
| <http://dbpedia.org/property/id>                                    | 109            | 369    |
| <http://dbpedia.org/property/languages>                             | 108            | 6252   |
| <http://www.w3.org/2004/02/skos/core#exactMatch>                    | 106            | 2411   |
| <http://dbpedia.org/ontology/mayor>                                 | 105            | 248    |
| <http://dbpedia.org/property/built>                                 | 93             | 112    |
| <http://dbpedia.org/ontology/discharge>                             | 93             | 152    |
| <http://dbpedia.org/ontology/Stream/discharge>                      | 93             | 152    |
| <http://dbpedia.org/ontology/ethnicGroupsInYear>                    | 92             | 2072   |
| <http://dbpedia.org/property/riverName>                             | 92             | 134    |
| <http://dbpedia.org/property/censusEstimateYr>                      | 92             | 192    |
| <http://dbpedia.org/property/ethnicGroupsYear>                      | 92             | 2072   |
| <http://dbpedia.org/property/link>                                  | 90             | 259    |
| <http://dbpedia.org/ontology/watershed>                             | 86             | 119    |
| <http://dbpedia.org/ontology/Stream/watershed>                      | 86             | 119    |
| <http://dbpedia.org/property/unitaryScotland>                       | 86             | 112    |
| <http://dbpedia.org/property/areaWaterPercent>                      | 86             | 140    |
| <http://dbpedia.org/ontology/mouthPosition>                         | 86             | 134    |
| <http://dbpedia.org/property/nameLocal>                             | 83             | 131    |
| <http://dbpedia.org/property/category>                              | 83             | 139    |
| <http://dbpedia.org/ontology/councilArea>                           | 82             | 108    |
| <http://dbpedia.org/ontology/archipelago>                           | 82             | 255    |
| <http://dbpedia.org/property/intercommunality>                      | 81             | 128    |
| <http://dbpedia.org/ontology/intercommunality>                      | 81             | 128    |
| <http://dbpedia.org/property/archipelago>                           | 81             | 255    |
| <http://dbpedia.org/ontology/mouthElevation>                        | 81             | 119    |
| <http://dbpedia.org/ontology/cityType>                              | 80             | 198    |
| <http://dbpedia.org/property/origin>                                | 80             | 123    |
| <http://dbpedia.org/ontology/origin>                                | 80             | 160    |
| <http://dbpedia.org/property/cityType>                              | 80             | 198    |
| <http://dbpedia.org/property/countryLargestCity>                    | 80             | 279    |
| <http://dbpedia.org/ontology/daylightSavingTimeZone>                | 77             | 107    |
| <http://dbpedia.org/ontology/mouthMountain>                         | 76             | 140    |
| <http://dbpedia.org/ontology/mouthPlace>                            | 76             | 140    |
| <http://dbpedia.org/property/mouthLocation>                         | 75             | 126    |
| <http://dbpedia.org/ontology/nearestCity>                           | 75             | 2512   |
| <http://dbpedia.org/property/gaelicName>                            | 75             | 101    |
| <http://dbpedia.org/ontology/sourcePlace>                           | 74             | 155    |
| <http://dbpedia.org/ontology/width>                                 | 74             | 318    |
| <http://dbpedia.org/ontology/sourceMountain>                        | 74             | 155    |
| <http://dbpedia.org/property/sourceLocation>                        | 73             | 131    |
| <http://dbpedia.org/ontology/buildingEndDate>                       | 73             | 85     |
| <http://dbpedia.org/ontology/city>                                  | 72             | 734    |
| <http://dbpedia.org/property/shireCounty>                           | 71             | 84     |
| <http://dbpedia.org/property/discharge>                             | 71             | 125    |
| <http://dbpedia.org/property/shireDistrict>                         | 70             | 84     |
| <http://dbpedia.org/ontology/sourceElevation>                       | 69             | 120    |
| <http://dbpedia.org/property/lieutenancyScotland>                   | 67             | 88     |
| <http://dbpedia.org/ontology/lieutenancyArea>                       | 66             | 87     |
| <http://dbpedia.org/property/mayorParty>                            | 65             | 130    |
| <http://dbpedia.org/ontology/maximumDepth>                          | 65             | 409    |
| <http://dbpedia.org/ontology/sourcePosition>                        | 62             | 117    |
| <http://dbpedia.org/property/canton>                                | 61             | 75     |
| <http://dbpedia.org/ontology/canton>                                | 61             | 80     |
| <http://dbpedia.org/property/totalarea>                             | 60             | 473    |
| <http://dbpedia.org/property/lengthKm>                              | 59             | 292    |
| <http://dbpedia.org/ontology/locatedInArea>                         | 58             | 153    |
| <http://dbpedia.org/ontology/averageDepth>                          | 56             | 365    |
| <http://dbpedia.org/property/conflict>                              | 56             | 70     |
| <http://dbpedia.org/property/postalCodes>                           | 56             | 108    |
| <http://dbpedia.org/property/telephoneArea>                         | 56             | 106    |
| <http://dbpedia.org/ontology/inflow>                                | 56             | 2382   |
| <http://dbpedia.org/property/bürgermeistertitel>                    | 55             | 99     |
| <http://dbpedia.org/property/result>                                | 54             | 70     |
| <http://dbpedia.org/property/city>                                  | 54             | 716    |
| <http://dbpedia.org/ontology/rightTributary>                        | 53             | 336    |
| <http://dbpedia.org/property/sourceElevation>                       | 53             | 92     |
| <http://dbpedia.org/property/tributaryRight>                        | 53             | 333    |
| <http://dbpedia.org/ontology/distanceToLondon>                      | 52             | 73     |
| <http://dbpedia.org/property/tributaryLeft>                         | 52             | 345    |
| <http://dbpedia.org/ontology/leftTributary>                         | 52             | 344    |
| <http://dbpedia.org/ontology/result>                                | 51             | 151    |
| <http://dbpedia.org/property/place>                                 | 51             | 102    |
| <http://dbpedia.org/ontology/place>                                 | 50             | 173    |
| <http://dbpedia.org/property/mouthElevation>                        | 49             | 82     |
| <http://dbpedia.org/property/combatant>                             | 49             | 226    |
| <http://dbpedia.org/ontology/source>                                | 49             | 105    |
| <http://dbpedia.org/property/commander>                             | 48             | 447    |
| <http://dbpedia.org/property/highestelev>                           | 48             | 465    |
| <http://dbpedia.org/property/fullname>                              | 48             | 465    |
| <http://dbpedia.org/property/lowestelev>                            | 48             | 465    |
| <http://dbpedia.org/ontology/commander>                             | 47             | 533    |
| <http://dbpedia.org/ontology/frazioni>                              | 47             | 128    |
| <http://dbpedia.org/property/founder>                               | 47             | 169    |
| <http://dbpedia.org/property/frazioni>                              | 47             | 94     |
| <http://dbpedia.org/property/refnum>                                | 47             | 68     |
| <http://dbpedia.org/ontology/combatant>                             | 46             | 313    |
| <http://dbpedia.org/property/added>                                 | 46             | 67     |
| <http://dbpedia.org/property/anthem>                                | 46             | 273    |
| <http://dbpedia.org/ontology/ceremonialCounty>                      | 45             | 53     |
| <http://dbpedia.org/property/partof>                                | 45             | 58     |
| <http://dbpedia.org/property/scotsName>                             | 44             | 70     |
| <http://dbpedia.org/property/cities>                                | 43             | 2420   |
| <http://dbpedia.org/property/founded>                               | 43             | 59     |
| <http://dbpedia.org/ontology/isPartOfMilitaryConflict>              | 43             | 61     |
| <http://dbpedia.org/property/inflow>                                | 42             | 2252   |
| <http://dbpedia.org/ontology/founder>                               | 42             | 158    |
| <http://dbpedia.org/ontology/PopulatedPlace/populationMetroDensity> | 41             | 116    |
| <http://dbpedia.org/property/landarea>                              | 41             | 354    |
| <http://dbpedia.org/property/waterarea>                             | 41             | 365    |
| <http://dbpedia.org/property/populationDensityMetroKm>              | 41             | 110    |
| <http://dbpedia.org/ontology/populationMetroDensity>                | 41             | 116    |
| <http://dbpedia.org/property/length>                                | 40             | 49     |
| <http://dbpedia.org/ontology/mouthCountry>                          | 39             | 78     |
| <http://dbpedia.org/ontology/volume>                                | 39             | 244    |
| <http://dbpedia.org/property/mouthCountry>                          | 39             | 73     |
| <http://dbpedia.org/property/outflow>                               | 39             | 149    |
| <http://dbpedia.org/property/densityKm>                             | 39             | 95     |
| <http://dbpedia.org/ontology/outflow>                               | 39             | 150    |
| <http://dbpedia.org/ontology/nrhpReferenceNumber>                   | 38             | 44     |
| <http://dbpedia.org/property/party>                                 | 38             | 55     |
| <http://dbpedia.org/property/lieutenancyEngland>                    | 38             | 46     |
| <http://dbpedia.org/ontology/added>                                 | 37             | 43     |
| <http://dbpedia.org/property/date>                                  | 36             | 52     |
| <http://dbpedia.org/property/sourceCountry>                         | 36             | 63     |
| <http://dbpedia.org/property/web>                                   | 36             | 105    |
| <http://dbpedia.org/property/strength>                              | 36             | 148    |
