--------------------------------------------------------------------------------------------	yProperty	yCountDistinct	yCount
============================================================================================
http://dbpedia.org/property/city	3	3
http://dbpedia.org/property/populationRural	3	3
http://dbpedia.org/ontology/address	1	3
http://dbpedia.org/ontology/populationRural	3	3
http://dbpedia.org/ontology/PopulatedPlace/areaUrban	2	3
http://dbpedia.org/ontology/city	3	3
http://dbpedia.org/property/language	1	2
http://dbpedia.org/ontology/language	1	2
http://dbpedia.org/property/ground	1	2
http://dbpedia.org/ontology/minimumElevation	2	2
http://dbpedia.org/property/elevationMaxFt	2	2
http://dbpedia.org/property/unitaryScotland	2	2
http://dbpedia.org/ontology/distanceToEdinburgh	2	2
http://dbpedia.org/ontology/distanceToLondon	2	2
http://dbpedia.org/property/gaelicName	2	2
http://dbpedia.org/property/students	2	2
http://dbpedia.org/ontology/areaMetro	1	2
http://dbpedia.org/ontology/PopulatedPlace/areaMetro	1	2
http://dbpedia.org/property/region	1	2
http://dbpedia.org/ontology/councilArea	2	2
http://dbpedia.org/property/faculty	2	2
http://dbpedia.org/ontology/ground	1	2
http://dbpedia.org/ontology/facultySize	2	2
http://dbpedia.org/property/elevationMinFt	2	2
http://umbel.org/umbel#isLike	2	2
http://dbpedia.org/ontology/numberOfStudents	2	2
http://dbpedia.org/property/latinName	2	2
http://dbpedia.org/property/lieutenancyScotland	1	1
http://dbpedia.org/property/scotsName	1	1
http://dbpedia.org/property/areaWaterPercent	1	1
http://dbpedia.org/ontology/populationAsOf	1	1
http://dbpedia.org/property/added	1	1
http://dbpedia.org/ontology/areaRural	1	1
http://dbpedia.org/property/londonBorough	1	1
http://dbpedia.org/property/insee	1	1
http://dbpedia.org/property/edinburghDistanceMi	1	1
http://dbpedia.org/property/shireCounty	1	1
http://dbpedia.org/property/londonDistance	1	1
http://dbpedia.org/ontology/numberOfUndergraduateStudents	1	1
http://dbpedia.org/ontology/abbreviation	1	1
http://dbpedia.org/property/mottoeng	1	1
http://dbpedia.org/property/shireDistrict	1	1
http://dbpedia.org/ontology/managerTitle	1	1
http://dbpedia.org/property/governingBody	1	1
http://dbpedia.org/property/colours	1	1
http://dbpedia.org/ontology/subdivisions	1	1
http://dbpedia.org/property/postgrad	1	1
http://dbpedia.org/property/areaMetroKm	1	1
http://dbpedia.org/property/mgrtitle	1	1
http://dbpedia.org/ontology/percentageOfAreaWater	1	1
http://dbpedia.org/property/mayor	1	1
http://dbpedia.org/property/londonDistanceMi	1	1
http://dbpedia.org/property/elevationMaxM	1	1
http://dbpedia.org/ontology/governingBody	1	1
http://dbpedia.org/property/edinburghDistance	1	1
http://dbpedia.org/ontology/inseeCode	1	1
http://dbpedia.org/ontology/capacity	1	1
http://dbpedia.org/ontology/campus	1	1
http://dbpedia.org/property/league	1	1
http://dbpedia.org/property/areaMetroSqMi	1	1
http://dbpedia.org/property/id	1	1
http://dbpedia.org/ontology/position	1	1
http://dbpedia.org/ontology/region	1	1
http://dbpedia.org/ontology/season	1	1
http://dbpedia.org/property/manager	1	1
http://dbpedia.org/ontology/mayor	1	1
http://dbpedia.org/ontology/numberOfPostgraduateStudents	1	1
http://dbpedia.org/ontology/president	1	1
http://dbpedia.org/ontology/league	1	1
http://dbpedia.org/property/areaRuralKm	1	1
http://dbpedia.org/property/undergrad	1	1
http://dbpedia.org/property/populationDensity	1	1
http://dbpedia.org/property/abbreviation	1	1
http://dbpedia.org/property/refnum	1	1
http://dbpedia.org/property/populationAsOf	1	1
http://dbpedia.org/property/president	1	1
http://dbpedia.org/ontology/district	1	1
http://dbpedia.org/property/chancellor	1	1
http://dbpedia.org/ontology/officialSchoolColour	1	1
http://dbpedia.org/property/clubname	1	1
http://dbpedia.org/ontology/lieutenancyArea	1	1
http://dbpedia.org/ontology/borough	1	1
http://dbpedia.org/property/areaKm	1	1
http://dbpedia.org/ontology/manager	1	1
http://dbpedia.org/property/elevationMinM	1	1
http://dbpedia.org/property/established	1	1
http://dbpedia.org/ontology/chancellor	1	1
http://dbpedia.org/property/position	1	1
http://dbpedia.org/property/campus	1	1
http://dbpedia.org/property/subdivisions	1	1
http://dbpedia.org/property/pop	1	1
http://dbpedia.org/property/season	1	1
--------------------------------------------------------------------------------------------
