-------------------------------------------------------------------------------------------------	yProperty	yCountDistinct	yCount
=================================================================================================
http://dbpedia.org/ontology/longName	51	353
http://dbpedia.org/property/populationEstimate	46	350
http://dbpedia.org/property/areaMetroSqMi	35	345
http://dbpedia.org/ontology/twinCountry	13	330
http://dbpedia.org/property/percentWater	38	328
http://dbpedia.org/property/timeZone	46	317
http://dbpedia.org/property/id	29	313
http://dbpedia.org/property/areaUrbanSqMi	22	300
http://dbpedia.org/property/language	2	298
http://dbpedia.org/property/twin1Country	5	278
http://dbpedia.org/property/areaSqMi	50	277
http://dbpedia.org/property/link	23	270
http://dbpedia.org/ontology/region	71	253
http://dbpedia.org/property/totalarea	37	248
http://dbpedia.org/property/fullname	36	247
http://dbpedia.org/property/highestelev	36	247
http://dbpedia.org/property/lowestelev	36	247
http://dbpedia.org/property/otherName	49	240
http://dbpedia.org/ontology/synonym	49	240
http://dbpedia.org/ontology/PopulatedPlace/populationMetroDensity	27	226
http://dbpedia.org/ontology/populationMetroDensity	27	226
http://dbpedia.org/property/mayor	58	226
http://dbpedia.org/property/largestcity	27	223
http://dbpedia.org/property/populationDensityMetroKm	26	220
http://dbpedia.org/property/city	2	219
http://dbpedia.org/property/landarea	30	211
http://dbpedia.org/property/waterarea	29	207
http://dbpedia.org/property/largestCity	25	203
http://dbpedia.org/property/officiallang	25	202
http://dbpedia.org/property/dialCode	21	185
http://dbpedia.org/property/postcodeDistrict	20	183
http://dbpedia.org/ontology/gridReference	20	176
http://dbpedia.org/property/osGridReference	20	176
http://dbpedia.org/property/elevation	46	175
http://dbpedia.org/ontology/neighboringMunicipality	6	169
http://dbpedia.org/property/ethnicGroupsYear	27	166
http://dbpedia.org/ontology/ethnicGroupsInYear	27	166
http://dbpedia.org/property/elevationMaxFt	15	165
http://dbpedia.org/property/neighboringMunicipalities	6	163
http://dbpedia.org/ontology/founder	31	161
http://dbpedia.org/property/unitaryScotland	6	159
http://dbpedia.org/property/gaelicName	6	159
http://dbpedia.org/ontology/councilArea	6	159
http://dbpedia.org/property/founder	33	157
http://dbpedia.org/ontology/twinTown	19	156
http://dbpedia.org/ontology/distanceToLondon	7	154
http://dbpedia.org/ontology/distanceToEdinburgh	3	150
http://dbpedia.org/property/populationDensity	2	149
http://dbpedia.org/property/londonDistanceMi	2	148
http://dbpedia.org/property/edinburghDistanceMi	1	147
http://dbpedia.org/property/elevationMinFt	14	145
http://www.w3.org/2002/07/owl#differentFrom	39	138
http://dbpedia.org/property/area	36	138
http://dbpedia.org/property/twin	16	133
http://dbpedia.org/ontology/populationUrbanDensity	23	129
http://dbpedia.org/ontology/PopulatedPlace/populationUrbanDensity	23	129
http://dbpedia.org/property/elevationMinM	35	128
http://dbpedia.org/property/state	27	125
http://dbpedia.org/property/populationDensityUrbanKm	21	123
http://dbpedia.org/ontology/mayor	36	106
http://www.w3.org/2004/02/skos/core#exactMatch	21	90
http://dbpedia.org/property/county	5	88
http://dbpedia.org/property/government	6	84
http://dbpedia.org/ontology/government	6	84
http://dbpedia.org/property/rulingParty	3	79
http://dbpedia.org/property/licence	23	78
http://dbpedia.org/property/title	4	77
http://dbpedia.org/ontology/soundRecording	4	77
http://dbpedia.org/property/filename	4	77
http://dbpedia.org/ontology/daylightSavingTimeZone	22	76
http://dbpedia.org/property/bürgermeistertitel	21	72
http://dbpedia.org/ontology/district	26	70
http://dbpedia.org/ontology/state	14	67
http://dbpedia.org/property/district	22	66
http://dbpedia.org/property/nationalMotto	13	65
http://dbpedia.org/ontology/federalState	15	62
http://dbpedia.org/property/stand	17	61
http://dbpedia.org/property/insee	17	58
http://dbpedia.org/ontology/inseeCode	17	58
http://dbpedia.org/property/description	3	52
http://dbpedia.org/property/lowest	9	51
http://dbpedia.org/property/river	14	48
http://dbpedia.org/ontology/river	14	48
http://dbpedia.org/ontology/intercommunality	3	46
http://dbpedia.org/property/popMetro	11	46
http://dbpedia.org/ontology/lowestPlace	6	44
http://dbpedia.org/property/leader	3	42
http://dbpedia.org/property/category	10	41
http://dbpedia.org/property/vorwahl	3	41
http://dbpedia.org/property/plz	3	41
http://dbpedia.org/property/populationDemonym	2	40
http://dbpedia.org/property/arrondissement	11	40
http://dbpedia.org/ontology/arrondissement	11	40
http://dbpedia.org/ontology/lowest	5	39
http://dbpedia.org/property/popUrban	5	39
http://dbpedia.org/property/germanName	6	38
http://dbpedia.org/property/pop	8	38
http://dbpedia.org/ontology/highestPosition	4	37
http://dbpedia.org/ontology/governmentPosition	4	37
http://dbpedia.org/property/department	11	36
http://dbpedia.org/ontology/department	11	36
http://dbpedia.org/property/highestElevation	4	35
http://dbpedia.org/property/lowestElevation	4	35
http://dbpedia.org/ontology/governmentElevation	3	34
http://dbpedia.org/property/highestRegion	2	32
http://dbpedia.org/ontology/lowestMountain	2	32
http://dbpedia.org/ontology/highestRegion	2	32
http://dbpedia.org/ontology/foundingYear	8	32
http://dbpedia.org/property/governmentElevation	2	32
http://dbpedia.org/ontology/governmentRegion	2	32
http://dbpedia.org/property/governmentRegion	2	32
http://dbpedia.org/property/lowestLocation	2	32
