"p","callret-1"
"http://yago-knowledge.org/resource/infobox/fr/date",6944
"http://yago-knowledge.org/resource/infobox/de/type",6912
"http://yago-knowledge.org/resource/infobox/en/previouselection",6876
"http://yago-knowledge.org/resource/infobox/en/ongoing",6869
"http://yago-knowledge.org/resource/infobox/en/prev",6852
"http://yago-knowledge.org/resource/infobox/en/pictureformat",6762
"http://yago-knowledge.org/resource/infobox/en/nextelection",6755
"http://yago-knowledge.org/resource/infobox/en/shipdraught",6738
"http://yago-knowledge.org/resource/infobox/en/nations",6700
"http://yago-knowledge.org/resource/infobox/en/nominee",6546
"http://yago-knowledge.org/resource/infobox/en/nextseason",6488
"http://yago-knowledge.org/resource/infobox/en/company",6431
"http://yago-knowledge.org/resource/infobox/en/city",6326
"http://yago-knowledge.org/resource/infobox/en/prevseason",6306
"http://yago-knowledge.org/resource/infobox/en/composer",6221
"http://yago-knowledge.org/resource/infobox/en/series",6102
"http://yago-knowledge.org/resource/infobox/en/executiveproducer",5858
"http://yago-knowledge.org/resource/infobox/en/shiptype",5826
"http://yago-knowledge.org/resource/infobox/en/beforeelection",5804
"http://yago-knowledge.org/resource/infobox/en/channel",5751
"http://yago-knowledge.org/resource/infobox/en/shiprange",5740
"http://yago-knowledge.org/resource/infobox/en/ratings",5734
"http://yago-knowledge.org/resource/infobox/en/shipstruck",5674
"http://yago-knowledge.org/resource/infobox/en/first",5664
"http://yago-knowledge.org/resource/infobox/en/afterelection",5640
"http://yago-knowledge.org/resource/infobox/en/shipacquired",5556
"http://yago-knowledge.org/resource/infobox/fr/lieu",5488
"http://yago-knowledge.org/resource/infobox/de/pl",5430
"http://yago-knowledge.org/resource/infobox/de/reg",5367
"http://yago-knowledge.org/resource/infobox/de/pj",5351
"http://yago-knowledge.org/resource/infobox/de/os",5311
"http://yago-knowledge.org/resource/infobox/en/beforeparty",5301
"http://yago-knowledge.org/resource/infobox/fr/pays",5243
"http://yago-knowledge.org/resource/infobox/de/len",5206
"http://yago-knowledge.org/resource/infobox/en/shipordered",5189
"http://yago-knowledge.org/resource/infobox/en/afterparty",5181
"http://yago-knowledge.org/resource/infobox/de/kamera",5140
"http://yago-knowledge.org/resource/infobox/en/bronzenoc",5125
"http://yago-knowledge.org/resource/infobox/de/drb",5059
"http://yago-knowledge.org/resource/infobox/fr/genre",5036
"http://yago-knowledge.org/resource/infobox/de/ds",5016
"http://yago-knowledge.org/resource/infobox/en/matches",4900
"http://yago-knowledge.org/resource/infobox/de/pro",4897
"http://yago-knowledge.org/resource/infobox/en/designer",4892
"http://yago-knowledge.org/resource/infobox/de/musik",4850
"http://yago-knowledge.org/resource/infobox/en/status",4842
"http://yago-knowledge.org/resource/infobox/de/ot",4770
"http://yago-knowledge.org/resource/infobox/en/goldnoc",4732
"http://yago-knowledge.org/resource/infobox/en/silvernoc",4732
"http://yago-knowledge.org/resource/infobox/en/attendance",4687
